"Texte","id"
"from aniruddha b deglurkar subject help splitting a trimming region along a mesh organization university of kentucky dept of math sciences lines hi i have a problem i hope some of the gurus can help me solve background of the problem i have a rectangular mesh in the uv domain i e the mesh is a mapping of a d bezier patch into d the area in this domain which is inside a trimming loop had to be rendered the trimming loop is a set of d bezier curve segments for the sake of notation the mesh is made up of cells my problem is this the trimming area has to be split up into individual smaller cells bounded by the trimming curve segments if a cell is wholly inside the area then it is output as a whole else it is trivially rejected does any body know how thiss can be done or is there any algo somewhere for doing this any help would be appreciated thanks ani to get irritated is human to stay cool divine",1
"from darin johnson subject re harrassed at work could use some prayers organization cse dept u c san diego lines well i ll email also but this may apply to other people so i ll post also i ve been working at this company for eight years in various engineering jobs i m female yesterday i counted and realized that on seven different occasions i ve been sexually harrassed at this company i dreaded coming back to work today what if my boss comes in to ask me some kind of question your boss should be the person bring these problems to if he she does not seem to take any action keep going up higher and higher sexual harrassment does not need to be tolerated and it can be an enormous emotional support to discuss this with someone and know that they are trying to do something about it if you feel you can not discuss this with your boss perhaps your company has a personnel department that can work for you while preserving your privacy most companies will want to deal with this problem because constant anxiety does seriously affect how effectively employees do their jobs it is unclear from your letter if you have done this or not it is not inconceivable that management remains ignorant of employee problems strife even after eight years it s a miracle if they do notice perhaps your manager did not bring to the attention of higher ups if the company indeed does seem to want to ignore the entire problem there may be a state agency willing to fight with you check with a lawyer a women s resource center etc to find out you may also want to discuss this with your paster priest husband etc that is someone you know will not be judgemental and that is supportive comforting etc this will bring a lot of healing so i returned at only to find that ever single person had already left for lunch they left at or so no one could be bothered to call me at the other building even though my number was posted this happens to a lot of people honest i believe it may seem to be due to gross insensitivity because of the feelings you are going through people in offices tend to be more insensitive while working than they normally are maybe it s the hustle or stress or i ve had this happen to me a lot often because they didn t realize my car was broken etc then they will come back and wonder why i didn t want to go this would tend to make me stop being angry at being ignored and make me laugh once we went off without our boss who was paying for the lunch for this reason i hope good mr moderator allows me this latest indulgence well if you can t turn to the computer for support what would we do signs of the computer age in closing please don t let the hateful actions of a single person harm you they are doing it because they are still the playground bully and enjoy seeing the hurt they cause and you should not accept the opinions of an imbecile that you are worthless much wiser people hold you in great esteem darin johnson luxury in my day we had to make do with bytes of swap",2
"from m m zwart subject catholic church poland organization faculteit der letteren rijksuniversiteit groningen nl lines hello i m writing a paper on the role of the catholic church in poland after can anyone tell me more about this or fill me in on recent books articles in english german or french most important for me is the role of the church concerning the abortion law religious education at schools birth control and the relation church state government thanx masja m m zwart",3
"from stanly subject re elder brother organization ncr corp columbia sc lines in article writes in article matt go therefore to the main highways and as many as you find there invite to the wedding feast hmmmmmm sounds like your theology and christ s are at odds which one am i to believe in this parable jesus tells the parable of the wedding feast the kingdom of heaven is like unto a certain king which made a marriage for his son so the wedding clothes were customary and given to those who chose to attend this man refused to wear the clothes the wedding clothes are equalivant to the clothes of righteousness when jesus died for our sins those clothes were then provided like that man it is our decision to put the clothes on",4
"from virgilio dean b velasco jr subject re the arrogance of christians organization case western reserve univ cleveland ohio usa lines in article steve hayes writes a similar analogy might be a medical doctor who believes that a blood transfusion is necessary to save the life of a child whose parents are jehovah s witnesses and so have conscientious objections to blood transfusion the doctor s efforts to persuade them to agree to a blood transfusion could be perceived to be arrogant in precisely the same way as christians could be perceived to be arrogant the truth or otherwise of the belief that a blood transfusion is necessary to save the life of the child is irrelevant here what matters is that the doctor believes it to be true and could be seen to be trying to foce his beliefs on the parents and this could well be perceived as arrogance let me carry that a step further most doctors would not claim to be infallible indeed they would generally admit that they could conceivably be wrong e g that in this case a blood tranfusion might not turn out to be necessary after all however the doctors would have enough confidence and conviction to claim out of genuine concern that is is necessary as fallible human beings they must acknowledge the possibility that they are wrong however they would also say that such doubts are not reasonable and stand by their convictions virgilio dean velasco jr department of electrical eng g and applied physics cwru graduate student roboticist in training and q wannabee bullwinkle that man s intimidating a referee my boss is a not very well he doesn t look like one at all jewish carpenter",5
"from joseph dale fisher subject re anger organization indiana university lines in article writes paul conditt writes insert deletion of paul s and aaron s discourse on anger ref galatians i don t know why it is so obvious we are not speaking of acts of the flesh we are just speaking of emotions emotions are not of themselves moral or immoral good or bad emotions just are the first step is not to label his emotion as good or bad or to numb ourselves so that we hide our true feelings it is to accept ourselves as we are as god accepts us oh but they definitely can be please look at colossians and ephesians emotions can be controlled and god puts very strong emphasis on self control otherwise why would he have paul write to timothy so much about making sure to teach self control insert deletion of remainder of paragraph re think it aaron don t be quick to judge he has forgiven those with aids he has dealt with and taken responsibility for his feelings and made appropriate choices for action on such feelings he has not given in to his anger please re think and re read for yourself joe again the issue is self control especially over feelings and actions for our actions stem from our feelings in many instances as for god giving in to his anger that comes very soon joe moore joe fisher",6
"from jacquelin aldridge subject re teenage acne organization netcom on line communication services guest lines pat churchill writes my y o son has the usual teenage spotty chin and greasy nose i bought him clearasil face wash and ointment i think that is probably enough along with the usual good diet however he is on at me to get some product called dalacin t which used to be a doctor s prescription only treatment but is not available over the chemist s counter i have asked a couple of pharmacists who say either his acne is not severe enough for dalacin t or that clearasil is ok i had the odd spots as a teenager nothing serious his father was the same so i don t figure his acne is going to escalate into something disfiguring but i know kids are senstitive about their appearance i am wary because a neighbour s son had this wierd malady that was eventually put down to an overdose of vitamin a from acne treatment i want to help but with appropriate treatment my son also has some scaliness around the hairline on his scalp sort of teenage cradle cap any pointers advice on this we have tried a couple of anti dandruff shampoos and some of these are inclined to make the condition worse not better shall i bury the kid till he s no i was one of the lucky ones very little acne as a teenager i didn t have any luck with clearasil even though my skin gets oily it really only gets miserable pimples when it s dry frequent lukewarm water rinses on the face might help getting the scalp thing under control might help that could be as simple as submerging under the bathwater till it s softened and washing it out taking a one a day vitamin mineral might help i ve heard iodine causes trouble and that it is used in fast food restaurants to sterilize equipment which might be where the belief that greasy foods cause acne came from i notice grease on my face not immediately removed will cause acne even from eating meat keeping hair rinse mousse dip and spray off the face will help warm water bath soaks or cloths on the face to soften the oil in the pores will help prevent blackheads body oil is hydrophilic loves water and it softens and washes off when it has a chance that s why hair goes limp with oilyness becoming convinced that the best thing to do with a whitehead is leave it alone will save him days of pimple misery any prying of black or whiteheads can cause infections the red spots of pimples usually a whitehead will break naturally in a day and there won t be an infection afterwards tell him that it s normal to have some pimples but the cosmetic industry makes it s money off of selling people on the idea that they are an incredible defect to be hidden at any cost even that of causing more pimples jackie",7
"from gordon banks subject re blindsight reply to gordon banks organization univ of pittsburgh computer science lines in article john werner writes in article gordon banks wrote explain i thought there were types of cones equivalent to rgb you re basically right but i think there are just types one is sensitive to red and green and the other is sensitive to blue and yellow this is why the two most common kinds of color blindness are red green and blue yellow yes i remember that now well in that case the cones are indeed color sensitive contrary to what the original respondent had claimed gordon banks njxp skepticism is the chastity of the intellect and it is shameful to surrender it too soon",8
"from marlena libman subject need advice with doctor patient relationship problem organization university of southern california los angeles ca lines nntp posting host hsc usc edu i need advice with a situation which occurred between me and a physican which upset me i saw this doctor for a problem with recurring pain he suggested medication and a course of treatment and told me that i need to call him days after i begin the medication so that he may monitor its effectiveness as well as my general health i did exactly as he asked and made the call reaching his secretary i explained to her that i was following up at the doctor s request and that i was worried because the pain episodes were becoming more frequent and the medication did not seem effective the doctor called me back and his first words were whatever you want you d better make it quick i m very busy and don t have time to chit chat with you i told him i was simply following his instructions to call on the th day to status him and that i was feeling worse i then asked if perhaps there was a better time for us to talk when he had more time he responded just spit it out now because no time is a good time said in a raised voice i started to feel upset and tried to explain quickly what was going on with my condition but my nervousness interfered with my choice of words and i kind of stuttered and then said well never mind and he said he ll talk to various colleagues about other medications and he ll call me some other time this doctor called me that evening and said because i didn t express myself well he was confused about what i wanted at this point i was pretty upset and i told him in an amazingly polite voice considering how angry i felt that his earlier manner had hurt my feelings he told me that he just doesn t have time to rap with patients and thought that was what i wanted i told him that to assume i was calling to rap was insulting and said again that i was just following through on his orders he responded that he resented the implication that he felt i was making that he was not interested in learning about what his patients have to say about their condition status he then gave me this apology i am sorry that there was a miscommunication and you mistakenly thought i was insulting i am not trying to insult you but i am not that knowledgeable about pain and i don t have a lot of time to deal with that he then told me to call him the next day for further instructions on how do deal with my pain and medication i am still upset and have not yet called my questions should i continue to have this doctor manage my care since i am in pain off and on i realize that this may cause me to be more anxietous so am i perhaps over reacting or overly sensitive if this doctor refers me to his colleague who knows more about the type of pain i have he still wants me to status him on my condition but now i am afraid to call him marlena",9
"from karl dussik subject re is christian a dirty word organization anasazi inc phx az usa lines in article james moss writes i was brought up christian but i am not christian any longer i also have a bad taste in my mouth over christianity i in my own faith accept and live my life by many if not most of the teachings of christ but i can not let myself be called a christian beacuse to me too many things are done on the name of christianity that i can not be associated with a question for you can you give me the name of an organization or a philosophy or a political movement etc which has never had anything evil done in its name you re missing a central teaching of christianity man is inherently sinful we are saved through faith by grace knowing that believing that does not make us without sin furthermore not all who consider themselves christians are even those who manage to head their own churches not everyone who says to me lord lord will enter the kingdom of heaven but only he who does the will of my father who is in heaven matt i also have a problem with the inconsistancies in the bible and how it seems to me that too many people have edited the original documents to fit their own world views thereby leaving the bible an unbelievable source again what historical documents do you trust do you think hannibal crossed the alps how do you know how do you know for sure what historical documents have stood the scrutiny and the attempts to dis credit it as well as the bible has i don t have dislike of christians except for a few who won t quit witnessing to me no matter how many times i tell them to stop but the christian faith organized religion will never as far as i can see at the moment get my support well it s really a shame you feel this way no one can browbeat you into believing and those who try will probably only succeed in driving you further away you need to ask yourself some difficult questions is there an afterlife and if so does man require salvation to attain it if the answer is yes the next question is how does man attain this salvation can he do it on his own as the eastern religions and certain modern offshoots like the new age movement teach or does he require god s help if the latter in what form does indeed in what form can such help come needless to say this discussion could take a lifetime and for some people it did comprise their life s writings so i am hardly in a position to offer the answers here merely pointers to what to ask few of us manage to have an unshaken faith our entire lives certainly not me the spritual life is a difficult journey if you ve never read a pilgrim s progress i highly recommend this greatest allegory of the english language peace and love in god ess s name james moss now i see by your close that one possible source of trouble for you may be a conflict between your politcal beliefs and your religious upbringing you wrote that i in my own faith accept and live my life by many if not most of the teachings of christ well christ referred to god as my father not my mother and while the maleness of god is not the same as the maleness of those of us humans who possess a y chromosome it does not honor god to refer to him as female purely to be trendy non discriminatory or politically correct this in no way disparages women nor is it my intent to do so by my use of the male pronoun to refer to both men and women english just does not have a decent neuter set of pronouns after all god chose a woman as his only human partner in bringing christ into the human population well i m not about to launch into a detailed discussion of the role of women in christianity at am with only hours of sleep in the last and for that reason i also apologize for any shortcomings in this article i just happened across yours and felt moved to reply i hope i may have given you and anyone else who finds himself in a similar frame of mind something to contemplate karl dussik",10
